fish_amount,sim_steps,process_num,thread_num,schedule,duration
5000000,100,2,2,static,7.601939
5000000,100,2,8,static,1.922704
5000000,100,2,32,static,0.568132
5000000,100,2,128,static,1.102910
5000000,100,3,2,static,5.085620
5000000,100,3,8,static,1.295899
5000000,100,3,32,static,0.393319
5000000,100,3,128,static,0.272029
5000000,100,4,2,static,3.818170
5000000,100,4,8,static,0.983165
5000000,100,4,32,static,0.307714
5000000,100,4,128,static,4.411999
5000000,100,2,2,guided,8.105540
5000000,100,2,8,guided,6.442540
5000000,100,2,32,guided,2.923866
5000000,100,2,128,guided,2.779854
5000000,100,3,2,guided,5.454204
5000000,100,3,8,guided,4.410247
5000000,100,3,32,guided,2.006222
5000000,100,3,128,guided,2.010480
5000000,100,4,2,guided,4.270269
5000000,100,4,8,guided,3.344934
5000000,100,4,32,guided,1.491388
5000000,100,4,128,guided,1.412395
5000000,100,2,2,dynamic,70.389065
5000000,100,2,8,dynamic,134.307761
5000000,100,2,32,dynamic,111.447329
5000000,100,2,128,dynamic,41.431772
5000000,100,3,2,dynamic,53.851343
5000000,100,3,8,dynamic,92.296297
5000000,100,3,32,dynamic,75.310044
5000000,100,3,128,dynamic,28.050166
5000000,100,4,2,dynamic,36.347766
5000000,100,4,8,dynamic,67.596127
