fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,90,2,2,static,34.098487
25000000,90,2,8,static,8.776279
25000000,90,2,32,static,2.475574
25000000,90,2,128,static,0.831009
25000000,90,3,2,static,22.801041
25000000,90,3,8,static,5.810466
25000000,90,3,32,static,1.752725
25000000,90,3,128,static,0.717234
25000000,90,4,2,static,17.138595
25000000,90,4,8,static,4.356302
25000000,90,4,32,static,1.274488
25000000,90,4,128,static,0.677233
25000000,90,2,2,guided,36.968275
25000000,90,2,8,guided,25.546426
25000000,90,2,32,guided,13.739645
25000000,90,2,128,guided,13.377891
25000000,90,3,2,guided,26.419923
25000000,90,3,8,guided,19.755478
25000000,90,3,32,guided,9.315114
25000000,90,3,128,guided,9.091741
25000000,90,4,2,guided,21.125189
25000000,90,4,8,guided,15.019587
25000000,90,4,32,guided,7.278443
25000000,90,4,128,guided,7.053060
