fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,30,2,8,static,13.199139
100000000,30,2,32,static,8.048473
100000000,30,2,128,static,7.411617
100000000,30,3,8,static,8.387284
100000000,30,3,32,static,3.761990
100000000,30,3,128,static,3.295165
100000000,30,4,8,static,6.650046
100000000,30,4,32,static,2.073470
100000000,30,4,128,static,1.426388
100000000,30,2,8,guided,18.110917
100000000,30,2,32,guided,11.268496
100000000,30,2,128,guided,9.247826
100000000,30,3,8,guided,15.134016
100000000,30,3,32,guided,10.254651
100000000,30,3,128,guided,7.760532
100000000,30,4,8,guided,12.625469
100000000,30,4,32,guided,8.737147
100000000,30,4,128,guided,6.815844
