fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,50,2,8,static,21.807324
100000000,50,2,32,static,13.084702
100000000,50,2,128,static,12.869587
100000000,50,3,8,static,14.691533
100000000,50,3,32,static,6.693077
100000000,50,3,128,static,5.674949
100000000,50,4,8,static,10.429535
100000000,50,4,32,static,3.291460
100000000,50,4,128,static,2.316649
100000000,50,2,8,guided,28.165494
100000000,50,2,32,guided,18.404887
100000000,50,2,128,guided,15.315350
100000000,50,3,8,guided,24.650038
100000000,50,3,32,guided,16.590376
100000000,50,3,128,guided,12.676879
100000000,50,4,8,guided,21.255080
100000000,50,4,32,guided,14.293649
100000000,50,4,128,guided,11.447726
