fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,10,2,8,static,4.518058
100000000,10,2,32,static,2.638656
100000000,10,2,128,static,2.544280
100000000,10,3,8,static,3.047494
100000000,10,3,32,static,1.413291
100000000,10,3,128,static,1.531980
100000000,10,4,8,static,2.344557
100000000,10,4,32,static,0.897126
100000000,10,4,128,static,0.638183
100000000,10,2,8,guided,5.955057
100000000,10,2,32,guided,3.903957
100000000,10,2,128,guided,3.339132
100000000,10,3,8,guided,5.052995
100000000,10,3,32,guided,3.577628
100000000,10,3,128,guided,2.680126
100000000,10,4,8,guided,4.392440
100000000,10,4,32,guided,3.093363
100000000,10,4,128,guided,2.408504
