fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,60,2,8,static,25.681188
100000000,60,2,32,static,17.103165
100000000,60,2,128,static,15.071341
100000000,60,3,8,static,16.837836
100000000,60,3,32,static,7.381479
100000000,60,3,128,static,7.919793
100000000,60,4,8,static,12.431705
100000000,60,4,32,static,3.795317
100000000,60,4,128,static,1.806389
100000000,60,2,8,guided,34.452657
100000000,60,2,32,guided,22.152470
100000000,60,2,128,guided,18.453149
100000000,60,3,8,guided,30.045725
100000000,60,3,32,guided,20.345818
100000000,60,3,128,guided,15.444245
100000000,60,4,8,guided,25.269340
100000000,60,4,32,guided,17.630079
100000000,60,4,128,guided,13.731415
