fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,100,2,2,static,37.991479
25000000,100,2,8,static,9.794426
25000000,100,2,32,static,2.733510
25000000,100,2,128,static,7.416994
25000000,100,3,2,static,25.335165
25000000,100,3,8,static,6.413698
25000000,100,3,32,static,1.870245
25000000,100,3,128,static,0.991591
25000000,100,4,2,static,19.052171
25000000,100,4,8,static,4.926726
25000000,100,4,32,static,1.441796
25000000,100,4,128,static,1.029440
25000000,100,2,2,guided,41.228829
25000000,100,2,8,guided,28.629155
25000000,100,2,32,guided,15.753720
25000000,100,2,128,guided,14.464922
25000000,100,3,2,guided,29.821995
25000000,100,3,8,guided,21.825160
25000000,100,3,32,guided,10.285374
25000000,100,3,128,guided,10.261077
25000000,100,4,2,guided,23.847230
25000000,100,4,8,guided,16.394803
25000000,100,4,32,guided,8.214972
25000000,100,4,128,guided,8.068474
