fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,30,2,2,static,11.351261
25000000,30,2,8,static,3.021844
25000000,30,2,32,static,0.861381
25000000,30,2,128,static,2.221408
25000000,30,3,2,static,7.593046
25000000,30,3,8,static,1.963805
25000000,30,3,32,static,0.603692
25000000,30,3,128,static,2.085001
25000000,30,4,2,static,5.707186
25000000,30,4,8,static,1.481688
25000000,30,4,32,static,0.468918
25000000,30,4,128,static,0.426770
25000000,30,2,2,guided,12.330399
25000000,30,2,8,guided,8.447175
25000000,30,2,32,guided,4.604415
25000000,30,2,128,guided,4.276578
25000000,30,3,2,guided,8.850753
25000000,30,3,8,guided,6.537020
25000000,30,3,32,guided,3.152737
25000000,30,3,128,guided,3.087813
25000000,30,4,2,guided,6.994867
25000000,30,4,8,guided,5.183466
25000000,30,4,32,guided,2.355795
25000000,30,4,128,guided,2.484976
