fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,50,2,2,static,18.924382
25000000,50,2,8,static,4.874438
25000000,50,2,32,static,1.415616
25000000,50,2,128,static,0.769936
25000000,50,3,2,static,12.642709
25000000,50,3,8,static,3.224289
25000000,50,3,32,static,1.000225
25000000,50,3,128,static,0.506841
25000000,50,4,2,static,9.530678
25000000,50,4,8,static,2.428011
25000000,50,4,32,static,0.734790
25000000,50,4,128,static,0.545741
25000000,50,2,2,guided,20.764911
25000000,50,2,8,guided,14.137245
25000000,50,2,32,guided,7.698817
25000000,50,2,128,guided,7.133286
25000000,50,3,2,guided,14.822840
25000000,50,3,8,guided,10.845818
25000000,50,3,32,guided,5.209741
25000000,50,3,128,guided,5.062620
25000000,50,4,2,guided,11.754386
25000000,50,4,8,guided,8.263422
25000000,50,4,32,guided,3.861499
25000000,50,4,128,guided,4.005093
