fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,40,2,2,static,15.478799
25000000,40,2,8,static,3.912395
25000000,40,2,32,static,1.129428
25000000,40,2,128,static,3.016857
25000000,40,3,2,static,10.118197
25000000,40,3,8,static,2.596928
25000000,40,3,32,static,0.794217
25000000,40,3,128,static,0.360701
25000000,40,4,2,static,7.596554
25000000,40,4,8,static,1.976030
25000000,40,4,32,static,0.601158
25000000,40,4,128,static,0.222401
25000000,40,2,2,guided,16.365981
25000000,40,2,8,guided,10.937859
25000000,40,2,32,guided,6.046987
25000000,40,2,128,guided,5.657935
25000000,40,3,2,guided,11.810597
25000000,40,3,8,guided,8.648488
25000000,40,3,32,guided,4.192075
25000000,40,3,128,guided,4.096709
25000000,40,4,2,guided,9.326691
25000000,40,4,8,guided,6.767646
25000000,40,4,32,guided,3.117762
25000000,40,4,128,guided,3.515566
