fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,80,2,2,static,30.361556
25000000,80,2,8,static,7.769808
25000000,80,2,32,static,2.244260
25000000,80,2,128,static,1.105492
25000000,80,3,2,static,20.526251
25000000,80,3,8,static,5.145116
25000000,80,3,32,static,1.536943
25000000,80,3,128,static,0.699170
25000000,80,4,2,static,15.235571
25000000,80,4,8,static,3.861739
25000000,80,4,32,static,1.171610
25000000,80,4,128,static,0.444532
25000000,80,2,2,guided,33.048596
25000000,80,2,8,guided,22.737123
25000000,80,2,32,guided,12.501633
25000000,80,2,128,guided,11.604935
25000000,80,3,2,guided,23.736082
25000000,80,3,8,guided,17.368325
25000000,80,3,32,guided,8.354213
25000000,80,3,128,guided,8.157806
25000000,80,4,2,guided,18.939082
25000000,80,4,8,guided,13.070949
25000000,80,4,32,guided,6.176452
25000000,80,4,128,guided,6.554396
