fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,80,2,8,static,33.805269
100000000,80,2,32,static,21.447106
100000000,80,2,128,static,17.577212
100000000,80,3,8,static,22.987904
100000000,80,3,32,static,9.841624
100000000,80,3,128,static,10.144243
100000000,80,4,8,static,18.119829
100000000,80,4,32,static,5.001613
100000000,80,4,128,static,2.914791
100000000,80,2,8,guided,45.167080
100000000,80,2,32,guided,29.237443
100000000,80,2,128,guided,24.354786
100000000,80,3,8,guided,39.692101
100000000,80,3,32,guided,26.516184
100000000,80,3,128,guided,20.421048
100000000,80,4,8,guided,33.946646
100000000,80,4,32,guided,23.238951
100000000,80,4,128,guided,18.387294
