fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000,100,2,2,static,0.164354
100000,100,2,8,static,0.045625
100000,100,2,32,static,0.022385
100000,100,2,128,static,0.037698
100000,100,3,2,static,0.113971
100000,100,3,8,static,0.036788
100000,100,3,32,static,0.018893
100000,100,3,128,static,0.039268
100000,100,4,2,static,0.089230
100000,100,4,8,static,0.029174
100000,100,4,32,static,0.017619
100000,100,4,128,static,0.039157
100000,100,2,2,guided,0.183708
100000,100,2,8,guided,0.129170
100000,100,2,32,guided,0.067674
100000,100,2,128,guided,0.113020
100000,100,3,2,guided,0.138075
100000,100,3,8,guided,0.101997
100000,100,3,32,guided,0.069329
100000,100,3,128,guided,0.101475
100000,100,4,2,guided,0.104524
100000,100,4,8,guided,0.082630
100000,100,4,32,guided,0.063057
100000,100,4,128,guided,0.095339
100000,100,2,2,dynamic,1.415739
100000,100,2,8,dynamic,2.748239
100000,100,2,32,dynamic,2.246040
100000,100,2,128,dynamic,1.110335
100000,100,3,2,dynamic,0.969559
100000,100,3,8,dynamic,1.880371
100000,100,3,32,dynamic,1.522838
100000,100,3,128,dynamic,0.645276
100000,100,4,2,dynamic,0.725920
100000,100,4,8,dynamic,1.389874
100000,100,4,32,dynamic,1.128527
100000,100,4,128,dynamic,5.105119
