fish_amount,sim_steps,process_num,thread_num,schedule,duration
750000,100,2,2,static,1.163611
750000,100,2,8,static,0.308437
750000,100,2,32,static,0.101506
750000,100,2,128,static,0.065072
750000,100,3,2,static,0.790180
750000,100,3,8,static,0.210622
750000,100,3,32,static,0.079125
750000,100,3,128,static,0.240251
750000,100,4,2,static,0.588600
750000,100,4,8,static,0.167449
750000,100,4,32,static,0.063603
750000,100,4,128,static,0.188852
750000,100,2,2,guided,1.381032
750000,100,2,8,guided,0.970942
750000,100,2,32,guided,0.331302
750000,100,2,128,guided,0.289236
750000,100,3,2,guided,0.912006
750000,100,3,8,guided,0.727968
750000,100,3,32,guided,0.242697
750000,100,3,128,guided,0.219279
750000,100,4,2,guided,0.812813
750000,100,4,8,guided,0.546984
750000,100,4,32,guided,0.213767
750000,100,4,128,guided,0.369205
750000,100,2,2,dynamic,10.752905
750000,100,2,8,dynamic,19.980597
750000,100,2,32,dynamic,16.737669
750000,100,2,128,dynamic,6.246042
750000,100,3,2,dynamic,7.235951
750000,100,3,8,dynamic,13.732747
750000,100,3,32,dynamic,11.358076
750000,100,3,128,dynamic,4.305411
750000,100,4,2,dynamic,5.356540
750000,100,4,8,dynamic,10.142388
750000,100,4,32,dynamic,8.365483
750000,100,4,128,dynamic,3.165152
