fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,90,2,8,static,38.739723
100000000,90,2,32,static,24.243443
100000000,90,2,128,static,21.579095
100000000,90,3,8,static,26.004819
100000000,90,3,32,static,10.373829
100000000,90,3,128,static,11.106569
100000000,90,4,8,static,18.516554
100000000,90,4,32,static,5.691634
100000000,90,4,128,static,3.282527
100000000,90,2,8,guided,50.495991
100000000,90,2,32,guided,32.899067
100000000,90,2,128,guided,27.315360
100000000,90,3,8,guided,44.031093
100000000,90,3,32,guided,29.946121
100000000,90,3,128,guided,22.558177
100000000,90,4,8,guided,37.801949
100000000,90,4,32,guided,26.683737
100000000,90,4,128,guided,21.097582
