fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,20,2,2,static,7.587033
25000000,20,2,8,static,1.985131
25000000,20,2,32,static,0.596257
25000000,20,2,128,static,0.228412
25000000,20,3,2,static,5.072377
25000000,20,3,8,static,1.325635
25000000,20,3,32,static,0.433379
25000000,20,3,128,static,0.180546
25000000,20,4,2,static,3.827817
25000000,20,4,8,static,1.023425
25000000,20,4,32,static,0.410720
25000000,20,4,128,static,0.354490
25000000,20,2,2,guided,8.108660
25000000,20,2,8,guided,5.471636
25000000,20,2,32,guided,3.024714
25000000,20,2,128,guided,2.815825
25000000,20,3,2,guided,5.946241
25000000,20,3,8,guided,4.409438
25000000,20,3,32,guided,2.093331
25000000,20,3,128,guided,2.028124
25000000,20,4,2,guided,4.583647
25000000,20,4,8,guided,3.405690
25000000,20,4,32,guided,1.514581
25000000,20,4,128,guided,1.657013
