fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,10,2,2,static,3.814469
25000000,10,2,8,static,1.027980
25000000,10,2,32,static,0.325559
25000000,10,2,128,static,0.147239
25000000,10,3,2,static,2.561095
25000000,10,3,8,static,0.691529
25000000,10,3,32,static,0.246553
25000000,10,3,128,static,0.730752
25000000,10,4,2,static,1.946279
25000000,10,4,8,static,0.534097
25000000,10,4,32,static,0.204324
25000000,10,4,128,static,0.109475
25000000,10,2,2,guided,4.195905
25000000,10,2,8,guided,2.667398
25000000,10,2,32,guided,1.573625
25000000,10,2,128,guided,1.316223
25000000,10,3,2,guided,2.954959
25000000,10,3,8,guided,2.136986
25000000,10,3,32,guided,1.074165
25000000,10,3,128,guided,0.994542
25000000,10,4,2,guided,2.366047
25000000,10,4,8,guided,1.691903
25000000,10,4,32,guided,0.792902
25000000,10,4,128,guided,0.807219
