fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,40,2,8,static,17.266948
100000000,40,2,32,static,10.355569
100000000,40,2,128,static,9.866760
100000000,40,3,8,static,11.295406
100000000,40,3,32,static,5.327433
100000000,40,3,128,static,4.919665
100000000,40,4,8,static,8.691752
100000000,40,4,32,static,2.583135
100000000,40,4,128,static,1.456614
100000000,40,2,8,guided,23.117200
100000000,40,2,32,guided,15.104081
100000000,40,2,128,guided,12.300692
100000000,40,3,8,guided,20.037592
100000000,40,3,32,guided,13.590618
100000000,40,3,128,guided,10.143253
100000000,40,4,8,guided,17.032154
100000000,40,4,32,guided,11.700109
100000000,40,4,128,guided,9.435734
