fish_amount,sim_steps,process_num,thread_num,schedule,duration
1000000,100,2,2,static,1.524906
1000000,100,2,8,static,0.393538
1000000,100,2,32,static,0.127932
1000000,100,2,128,static,0.070807
1000000,100,3,2,static,1.023714
1000000,100,3,8,static,0.269977
1000000,100,3,32,static,0.095221
1000000,100,3,128,static,0.065357
1000000,100,4,2,static,0.819826
1000000,100,4,8,static,0.206073
1000000,100,4,32,static,0.074970
1000000,100,4,128,static,0.064393
1000000,100,2,2,guided,1.749297
1000000,100,2,8,guided,1.262229
1000000,100,2,32,guided,0.439389
1000000,100,2,128,guided,0.364636
1000000,100,3,2,guided,1.248278
1000000,100,3,8,guided,0.924160
1000000,100,3,32,guided,0.307671
1000000,100,3,128,guided,0.497214
1000000,100,4,2,guided,1.024545
1000000,100,4,8,guided,0.749155
1000000,100,4,32,guided,0.249707
1000000,100,4,128,guided,0.229480
1000000,100,2,2,dynamic,14.170695
1000000,100,2,8,dynamic,26.551194
1000000,100,2,32,dynamic,22.291725
1000000,100,2,128,dynamic,8.359418
1000000,100,3,2,dynamic,9.644471
1000000,100,3,8,dynamic,18.275496
1000000,100,3,32,dynamic,14.978231
1000000,100,3,128,dynamic,5.776151
1000000,100,4,2,dynamic,7.228405
1000000,100,4,8,dynamic,13.337560
1000000,100,4,32,dynamic,11.164311
1000000,100,4,128,dynamic,4.178462
