fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,20,2,8,static,8.998214
100000000,20,2,32,static,5.576516
100000000,20,2,128,static,5.261524
100000000,20,3,8,static,6.170495
100000000,20,3,32,static,2.491378
100000000,20,3,128,static,2.292030
100000000,20,4,8,static,4.336131
100000000,20,4,32,static,1.414076
100000000,20,4,128,static,1.266508
100000000,20,2,8,guided,11.991722
100000000,20,2,32,guided,7.396546
100000000,20,2,128,guided,6.369164
100000000,20,3,8,guided,10.079121
100000000,20,3,32,guided,6.672622
100000000,20,3,128,guided,5.090347
100000000,20,4,8,guided,8.418210
100000000,20,4,32,guided,5.918587
100000000,20,4,128,guided,4.703923
