fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,70,2,8,static,30.306146
100000000,70,2,32,static,18.418849
100000000,70,2,128,static,17.479848
100000000,70,3,8,static,19.271526
100000000,70,3,32,static,8.682533
100000000,70,3,128,static,8.719842
100000000,70,4,8,static,14.669972
100000000,70,4,32,static,4.556843
100000000,70,4,128,static,2.366335
100000000,70,2,8,guided,40.268384
100000000,70,2,32,guided,24.665906
100000000,70,2,128,guided,21.716834
100000000,70,3,8,guided,35.085763
100000000,70,3,32,guided,24.696776
100000000,70,3,128,guided,17.796450
100000000,70,4,8,guided,29.384723
100000000,70,4,32,guided,20.691324
100000000,70,4,128,guided,15.599557
