fish_amount,sim_steps,process_num,thread_num,schedule,duration
500000,100,2,2,static,0.765004
500000,100,2,8,static,0.201259
500000,100,2,32,static,0.073490
500000,100,2,128,static,0.055709
500000,100,3,2,static,0.517158
500000,100,3,8,static,0.142745
500000,100,3,32,static,0.059553
500000,100,3,128,static,0.053970
500000,100,4,2,static,0.393209
500000,100,4,8,static,0.117073
500000,100,4,32,static,0.049998
500000,100,4,128,static,0.054202
500000,100,2,2,guided,0.881952
500000,100,2,8,guided,0.634110
500000,100,2,32,guided,0.242948
500000,100,2,128,guided,0.241633
500000,100,3,2,guided,0.569207
500000,100,3,8,guided,0.480735
500000,100,3,32,guided,0.176347
500000,100,3,128,guided,0.170311
500000,100,4,2,guided,0.500757
500000,100,4,8,guided,0.377579
500000,100,4,32,guided,0.154531
500000,100,4,128,guided,0.320366
500000,100,2,2,dynamic,7.087623
500000,100,2,8,dynamic,13.425425
500000,100,2,32,dynamic,11.129934
500000,100,2,128,dynamic,4.210546
500000,100,3,2,dynamic,4.819694
500000,100,3,8,dynamic,9.047386
500000,100,3,32,dynamic,7.572641
500000,100,3,128,dynamic,3.032825
500000,100,4,2,dynamic,7.770233
500000,100,4,8,dynamic,6.710391
500000,100,4,32,dynamic,5.603060
500000,100,4,128,dynamic,2.113866
