fish_amount,sim_steps,process_num,thread_num,schedule,duration
100000000,100,2,8,static,43.118244
100000000,100,2,32,static,26.440785
100000000,100,2,128,static,24.272198
100000000,100,3,8,static,28.040033
100000000,100,3,32,static,12.093783
100000000,100,3,128,static,12.009235
100000000,100,4,8,static,20.715601
100000000,100,4,32,static,6.179560
100000000,100,4,128,static,3.999382
100000000,100,2,8,guided,58.220576
100000000,100,2,32,guided,35.507542
100000000,100,2,128,guided,30.215759
100000000,100,3,8,guided,49.816613
100000000,100,3,32,guided,33.846985
100000000,100,3,128,guided,25.813565
100000000,100,4,8,guided,42.356401
100000000,100,4,32,guided,29.250540
100000000,100,4,128,guided,22.341390
