fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,70,2,2,static,26.489603
25000000,70,2,8,static,6.848851
25000000,70,2,32,static,1.963450
25000000,70,2,128,static,0.577016
25000000,70,3,2,static,17.688660
25000000,70,3,8,static,4.478870
25000000,70,3,32,static,1.338077
25000000,70,3,128,static,0.953966
25000000,70,4,2,static,13.325010
25000000,70,4,8,static,3.399268
25000000,70,4,32,static,1.005870
25000000,70,4,128,static,0.589761
25000000,70,2,2,guided,29.124867
25000000,70,2,8,guided,19.588525
25000000,70,2,32,guided,10.453721
25000000,70,2,128,guided,10.079427
25000000,70,3,2,guided,20.703244
25000000,70,3,8,guided,15.304273
25000000,70,3,32,guided,7.218245
25000000,70,3,128,guided,7.021010
25000000,70,4,2,guided,16.425164
25000000,70,4,8,guided,11.378074
25000000,70,4,32,guided,5.775614
25000000,70,4,128,guided,5.394673
