fish_amount,sim_steps,process_num,thread_num,schedule,duration
250000,100,2,2,static,0.390809
250000,100,2,8,static,0.104471
250000,100,2,32,static,0.039790
250000,100,2,128,static,0.045037
250000,100,3,2,static,0.264695
250000,100,3,8,static,0.077670
250000,100,3,32,static,0.032710
250000,100,3,128,static,0.045981
250000,100,4,2,static,0.201384
250000,100,4,8,static,0.063576
250000,100,4,32,static,0.027513
250000,100,4,128,static,0.397203
250000,100,2,2,guided,0.447162
250000,100,2,8,guided,0.334025
250000,100,2,32,guided,0.130809
250000,100,2,128,guided,0.188877
250000,100,3,2,guided,0.337514
250000,100,3,8,guided,0.249458
250000,100,3,32,guided,0.100293
250000,100,3,128,guided,0.213646
250000,100,4,2,guided,0.266079
250000,100,4,8,guided,0.189535
250000,100,4,32,guided,0.113259
250000,100,4,128,guided,0.208687
250000,100,2,2,dynamic,3.545845
250000,100,2,8,dynamic,6.803149
250000,100,2,32,dynamic,5.593369
250000,100,2,128,dynamic,2.094555
250000,100,3,2,dynamic,2.425180
250000,100,3,8,dynamic,4.626714
250000,100,3,32,dynamic,3.780661
250000,100,3,128,dynamic,1.458220
250000,100,4,2,dynamic,1.816535
250000,100,4,8,dynamic,3.431391
250000,100,4,32,dynamic,2.818449
250000,100,4,128,dynamic,1.273990
