fish_amount,sim_steps,process_num,thread_num,schedule,duration
25000000,60,2,2,static,22.727105
25000000,60,2,8,static,5.836086
25000000,60,2,32,static,1.683987
25000000,60,2,128,static,0.723893
25000000,60,3,2,static,15.184267
25000000,60,3,8,static,3.833819
25000000,60,3,32,static,1.154235
25000000,60,3,128,static,1.818315
25000000,60,4,2,static,11.393574
25000000,60,4,8,static,3.015449
25000000,60,4,32,static,0.888915
25000000,60,4,128,static,0.490699
25000000,60,2,2,guided,24.846159
25000000,60,2,8,guided,17.078585
25000000,60,2,32,guided,9.686271
25000000,60,2,128,guided,8.535497
25000000,60,3,2,guided,17.357569
25000000,60,3,8,guided,13.081440
25000000,60,3,32,guided,6.274366
25000000,60,3,128,guided,6.127184
25000000,60,4,2,guided,15.469061
25000000,60,4,8,guided,10.021639
25000000,60,4,32,guided,4.731782
25000000,60,4,128,guided,4.932954
