fish_amount,sim_steps,process_num,thread_num,schedule,duration
7500000,100,2,2,static,11.393309
7500000,100,2,8,static,3.960017
7500000,100,2,32,static,0.852443
7500000,100,2,128,static,0.271080
7500000,100,3,2,static,7.606156
7500000,100,3,8,static,2.990434
7500000,100,3,32,static,0.575669
7500000,100,3,128,static,0.451970
7500000,100,4,2,static,5.713221
7500000,100,4,8,static,1.464709
7500000,100,4,32,static,0.455323
7500000,100,4,128,static,0.177451
7500000,100,2,2,guided,14.030097
7500000,100,2,8,guided,9.903072
7500000,100,2,32,guided,4.550226
7500000,100,2,128,guided,4.634713
7500000,100,3,2,guided,8.797630
7500000,100,3,8,guided,6.739817
7500000,100,3,32,guided,3.007273
7500000,100,3,128,guided,2.951782
7500000,100,4,2,guided,6.247802
7500000,100,4,8,guided,5.088108
7500000,100,4,32,guided,2.299343
7500000,100,4,128,guided,2.332455
7500000,100,2,2,dynamic,105.529634
7500000,100,2,8,dynamic,203.965698
7500000,100,2,32,dynamic,166.909900
7500000,100,2,128,dynamic,61.319765
7500000,100,3,2,dynamic,71.962375
7500000,100,3,8,dynamic,138.472366
7500000,100,3,32,dynamic,113.389882
7500000,100,3,128,dynamic,42.137946
7500000,100,4,2,dynamic,53.596590
7500000,100,4,8,dynamic,101.114847
7500000,100,4,32,dynamic,83.456877
7500000,100,4,128,dynamic,30.631786
