fish_amount,sim_steps,process_num,thread_num,schedule,duration
10000000,100,2,2,static,15.191851
10000000,100,2,8,static,3.991818
10000000,100,2,32,static,1.106526
10000000,100,2,128,static,1.607235
10000000,100,3,2,static,10.136016
10000000,100,3,8,static,2.583241
10000000,100,3,32,static,0.761960
10000000,100,3,128,static,2.791270
10000000,100,4,2,static,7.623955
10000000,100,4,8,static,1.973653
10000000,100,4,32,static,0.590080
10000000,100,4,128,static,0.430288
10000000,100,2,2,guided,17.957581
10000000,100,2,8,guided,13.030315
10000000,100,2,32,guided,6.241961
10000000,100,2,128,guided,5.539734
10000000,100,3,2,guided,13.567833
10000000,100,3,8,guided,8.759140
10000000,100,3,32,guided,4.099447
10000000,100,3,128,guided,3.920287
10000000,100,4,2,guided,8.695095
10000000,100,4,8,guided,6.673882
10000000,100,4,32,guided,3.057708
10000000,100,4,128,guided,2.875467
