fish_amount,sim_steps,process_num,thread_num,schedule,duration
50000000,100,2,2,static,75.895637
50000000,100,2,8,static,20.578779
50000000,100,2,32,static,6.384444
50000000,100,2,128,static,3.343335
50000000,100,3,2,static,50.677095
50000000,100,3,8,static,13.309448
50000000,100,3,32,static,3.720616
50000000,100,3,128,static,1.341116
50000000,100,4,2,static,38.051018
50000000,100,4,8,static,9.959868
50000000,100,4,32,static,2.769294
50000000,100,4,128,static,1.205624
50000000,100,2,2,guided,79.448807
50000000,100,2,8,guided,40.499858
50000000,100,2,32,guided,28.855294
50000000,100,2,128,guided,21.456134
50000000,100,3,2,guided,55.471701
50000000,100,3,8,guided,33.346028
50000000,100,3,32,guided,20.791796
50000000,100,3,128,guided,17.350597
50000000,100,4,2,guided,43.072009
50000000,100,4,8,guided,29.124058
50000000,100,4,32,guided,16.583804
50000000,100,4,128,guided,15.313458
