fish_amount,sim_steps,process_num,thread_num,schedule,duration
75000000,100,2,2,static,118.229667
75000000,100,2,8,static,30.329150
75000000,100,2,32,static,14.482439
75000000,100,2,128,static,15.037541
75000000,100,3,2,static,75.875918
75000000,100,3,8,static,20.515220
75000000,100,3,32,static,9.817230
75000000,100,3,128,static,4.253478
75000000,100,4,2,static,57.049372
75000000,100,4,8,static,15.258012
75000000,100,4,32,static,4.296540
75000000,100,4,128,static,1.279009
75000000,100,2,2,guided,116.379290
75000000,100,2,8,guided,52.096802
75000000,100,2,32,guided,34.601885
75000000,100,2,128,guided,25.985203
75000000,100,3,2,guided,80.140903
75000000,100,3,8,guided,41.924351
75000000,100,3,32,guided,29.121041
75000000,100,3,128,guided,23.305903
75000000,100,4,2,guided,61.943453
75000000,100,4,8,guided,35.453119
75000000,100,4,32,guided,22.833597
75000000,100,4,128,guided,18.989697
